session_id,survey_id,annotator_id,evaluator_gender,evaluator_age,clip_id,display_order,speaker_id,speaker_sex,sentence_num,model_name,is_cloned,humanlike,customer_service,native_english,authoritative,warm,trust,intimate_convo
session_001,survey_088,annotator_165,Man,,clip_1869,1,speaker_065,Male,7,chatterbox,0,2,1,3,1,1,1,1
session_002,survey_130,annotator_057,Woman,,clip_0899,1,speaker_049,Female,2,chatterbox,1,5,2,5,1,4,3,1
session_001,survey_088,annotator_165,Man,,clip_0727,2,speaker_023,Male,2,chatterbox,1,3,3,3,1,3,2,1
session_002,survey_130,annotator_057,Woman,,clip_0916,2,speaker_050,Female,8,chatterbox,0,4,2,1,1,3,1,1
session_003,survey_225,annotator_149,Woman,,clip_0910,1,speaker_050,Female,4,chatterbox,0,2,3,1,2,1,2,1
session_002,survey_130,annotator_057,Woman,,clip_0917,3,speaker_050,Female,8,chatterbox,1,4,2,1,1,3,3,2
session_001,survey_088,annotator_165,Man,,clip_2089,3,speaker_065,Male,7,chatterbox,1,3,3,4,2,3,4,1
session_003,survey_225,annotator_149,Woman,,clip_1029,2,speaker_073,Female,2,chatterbox,1,3,4,5,2,3,3,2
session_001,survey_088,annotator_165,Man,,clip_0726,4,speaker_023,Male,2,chatterbox,0,1,1,1,1,1,1,1
session_002,survey_130,annotator_057,Woman,,clip_0754,4,speaker_028,Female,6,chatterbox,0,4,2,5,1,2,2,1
session_003,survey_225,annotator_149,Woman,,clip_1037,3,speaker_074,Female,1,chatterbox,1,3,2,4,2,3,2,2
session_002,survey_130,annotator_057,Woman,,clip_1765,5,speaker_079,Female,3,chatterbox,0,5,2,5,1,3,3,2
session_003,survey_225,annotator_149,Woman,,clip_1036,4,speaker_074,Female,1,chatterbox,0,1,2,1,1,2,2,1
session_002,survey_130,annotator_057,Woman,,clip_0847,6,speaker_043,Female,2,chatterbox,1,3,2,4,1,2,3,1
session_003,survey_225,annotator_149,Woman,,clip_1743,5,speaker_041,Female,3,chatterbox,0,1,1,1,1,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_1089,1,speaker_085,Male,7,chatterbox,1,2,1,5,1,2,2,1
session_002,survey_130,annotator_057,Woman,,clip_0997,7,speaker_064,Female,1,chatterbox,1,4,2,3,3,3,3,3
session_002,survey_130,annotator_057,Woman,,clip_0996,8,speaker_064,Female,1,chatterbox,0,5,2,5,3,3,3,4
session_003,survey_225,annotator_149,Woman,,clip_2048,6,speaker_020,Female,3,chatterbox,1,4,1,1,1,2,2,1
session_003,survey_225,annotator_149,Woman,,clip_0694,7,speaker_017,Female,2,chatterbox,1,4,2,1,1,2,2,1
session_006,survey_192,annotator_055,Woman,,clip_0324,1,speaker_039,Female,8,elevenlabs,1,2,4,4,3,4,4,2
session_007,survey_097,annotator_068,Woman,,clip_1713,1,speaker_055,Female,2,coqui_xtts,0,3,2,2,2,2,2,1
session_002,survey_130,annotator_057,Woman,,clip_0940,11,speaker_056,Female,9,chatterbox,0,5,3,1,1,3,2,1
session_002,survey_130,annotator_057,Woman,,clip_0846,12,speaker_043,Female,2,chatterbox,0,5,2,1,1,3,2,1
session_006,survey_192,annotator_055,Woman,,clip_1994,2,speaker_055,Female,2,elevenlabs,1,3,2,5,4,2,4,2
session_003,survey_225,annotator_149,Woman,,clip_1871,9,speaker_068,Female,7,chatterbox,0,2,2,4,1,3,2,3
session_001,survey_088,annotator_165,Man,,clip_0717,5,speaker_022,Male,5,chatterbox,1,3,4,3,3,1,3,1
session_004,survey_182,annotator_072,Woman,,clip_0762,4,speaker_029,Male,4,chatterbox,0,1,1,3,3,1,1,1
session_003,survey_225,annotator_149,Woman,,clip_1028,10,speaker_073,Female,2,chatterbox,0,2,1,1,1,1,1,1
session_006,survey_192,annotator_055,Woman,,clip_0181,3,speaker_024,Female,8,elevenlabs,0,1,5,1,1,1,1,1
session_002,survey_130,annotator_057,Woman,,clip_1829,15,speaker_027,Female,6,chatterbox,0,5,2,5,1,3,2,3
session_003,survey_225,annotator_149,Woman,,clip_0693,11,speaker_017,Female,2,chatterbox,0,4,2,1,1,2,2,1
session_002,survey_130,annotator_057,Woman,,clip_1849,16,speaker_079,Female,6,chatterbox,0,5,3,5,2,3,3,1
session_003,survey_225,annotator_149,Woman,,clip_2071,12,speaker_041,Female,3,chatterbox,1,1,1,5,3,1,1,1
session_001,survey_088,annotator_165,Man,,clip_1091,8,speaker_085,Male,8,chatterbox,1,4,3,4,3,3,3,1
session_003,survey_225,annotator_149,Woman,,clip_0911,13,speaker_050,Female,4,chatterbox,1,4,2,1,1,2,2,1
session_002,survey_130,annotator_057,Woman,,clip_2110,18,speaker_079,Female,3,chatterbox,1,5,3,5,1,3,3,1
session_001,survey_088,annotator_165,Man,,clip_0690,9,speaker_015,Male,1,chatterbox,1,4,3,2,3,4,4,2
session_003,survey_225,annotator_149,Woman,,clip_1064,14,speaker_082,Female,4,chatterbox,0,4,1,1,1,3,2,1
session_006,survey_192,annotator_055,Woman,,clip_1711,6,speaker_055,Female,2,elevenlabs,0,2,2,1,1,1,1,1
session_002,survey_130,annotator_057,Woman,,clip_2113,20,speaker_079,Female,6,chatterbox,1,5,2,5,2,3,3,2
session_003,survey_225,annotator_149,Woman,,clip_0733,16,speaker_024,Female,3,chatterbox,1,4,3,5,4,1,3,2
session_003,survey_225,annotator_149,Woman,,clip_1065,17,speaker_082,Female,4,chatterbox,1,5,1,1,1,2,2,1
session_006,survey_192,annotator_055,Woman,,clip_0439,8,speaker_052,Female,3,elevenlabs,0,1,4,1,1,2,1,1
session_004,survey_182,annotator_072,Woman,,clip_0786,7,speaker_032,Male,7,chatterbox,0,5,3,5,1,4,4,2
