speaker_id,orig_accent,orig_score,chatterbox_accent,chatterbox_score,elevenlabs_accent,elevenlabs_score,coqui_xtts_accent,coqui_xtts_score,Language
speaker_086,hongkong,0.26,us,0.653,us,0.428,us,0.589,Bengali
speaker_082,us,0.531,indian,0.476,us,0.488,us,0.318,German
speaker_081,us,0.538,us,0.663,us,0.807,england,0.521,French
speaker_047,us,0.528,us,0.605,us,0.562,us,0.796,English
speaker_017,indian,0.553,african,0.284,indian,0.472,us,0.754,Hindi
speaker_072,bermuda,0.337,canada,0.502,us,0.647,canada,0.496,Korean
speaker_059,hongkong,0.299,england,0.525,us,0.663,us,0.804,Korean
speaker_061,us,0.536,african,0.291,african,0.289,us,0.584,Spanish
speaker_021,us,0.337,us,0.778,us,0.495,england,0.465,Bengali
speaker_073,us,0.67,us,0.721,us,0.732,us,0.746,Chinese
speaker_062,indian,0.451,us,0.6,us,0.62,australia,0.493,Tamil
speaker_020,us,0.773,us,0.772,us,0.824,us,0.772,Spanish
speaker_080,canada,0.373,england,0.504,canada,0.54,us,0.627,English
speaker_071,us,0.433,african,0.257,us,0.769,us,0.763,Chinese
speaker_016,indian,0.407,us,0.727,us,0.641,england,0.485,Spanish
speaker_034,malaysia,0.395,us,0.624,england,0.369,england,0.517,English
speaker_067,us,0.552,england,0.402,us,0.779,us,0.754,English
speaker_039,england,0.379,england,0.371,us,0.78,us,0.769,Spanish
speaker_019,us,0.644,us,0.697,us,0.683,england,0.705,Spanish
speaker_037,us,0.618,us,0.74,us,0.838,us,0.816,Arabic
speaker_030,indian,0.345,us,0.509,us,0.692,canada,0.628,English
speaker_004,us,0.641,us,0.608,us,0.59,us,0.778,English
speaker_043,indian,0.371,indian,0.33,us,0.606,us,0.736,Tamil
speaker_085,newzealand,0.363,us,0.712,us,0.606,england,0.678,Farsi
speaker_007,us,0.181,us,0.699,bermuda,0.251,england,0.384,English
speaker_058,canada,0.292,us,0.718,us,0.708,england,0.451,English
speaker_060,england,0.336,england,0.568,us,0.476,us,0.642,Chinese
speaker_053,canada,0.424,us,0.451,us,0.783,australia,0.297,Spanish
speaker_050,us,0.512,us,0.792,us,0.794,us,0.564,Chinese
speaker_001,us,0.646,us,0.672,us,0.774,england,0.549,English
speaker_070,us,0.604,us,0.86,us,0.435,us,0.656,Chinese
speaker_009,us,0.634,us,0.69,us,0.755,england,0.696,English
speaker_044,indian,0.439,indian,0.469,us,0.391,us,0.732,Hindi
speaker_033,us,0.319,us,0.623,australia,0.398,canada,0.51,English
speaker_075,us,0.512,us,0.801,us,0.655,us,0.524,Spanish
speaker_027,us,0.68,us,0.729,us,0.62,england,0.55,Tagalog-Filipino
speaker_015,indian,0.526,australia,0.294,indian,0.633,england,0.649,Hindi
speaker_049,us,0.375,us,0.58,us,0.363,us,0.67,English
speaker_022,england,0.33,singapore,0.208,england,0.418,us,0.612,Chinese
speaker_064,us,0.565,us,0.572,us,0.58,us,0.704,English
speaker_006,australia,0.612,australia,0.677,indian,0.487,us,0.553,Chinese
speaker_046,indian,0.285,australia,0.363,indian,0.605,australia,0.325,English
speaker_077,us,0.523,us,0.775,us,0.712,us,0.738,English
speaker_014,us,0.509,us,0.279,singapore,0.386,england,0.468,Chinese
speaker_028,us,0.642,african,0.336,us,0.8,england,0.555,Gujarati
speaker_042,bermuda,0.177,bermuda,0.352,hongkong,0.113,us,0.433,Spanish
speaker_083,us,0.694,us,0.705,us,0.747,us,0.607,English
speaker_079,us,0.716,us,0.766,us,0.643,us,0.832,English
speaker_013,us,0.467,australia,0.552,us,0.627,us,0.53,English
speaker_029,us,0.663,us,0.737,us,0.678,england,0.625,Spanish
speaker_040,england,0.308,us,0.56,australia,0.515,us,0.502,Chinese
speaker_068,us,0.731,us,0.758,us,0.817,us,0.787,English
speaker_003,us,0.706,us,0.77,us,0.827,us,0.773,English
speaker_084,bermuda,0.487,us,0.732,us,0.618,england,0.654,Chinese
speaker_010,us,0.32,england,0.527,us,0.692,australia,0.539,English
speaker_035,us,0.555,australia,0.39,us,0.727,us,0.727,English
speaker_048,us,0.555,australia,0.367,us,0.541,us,0.743,Other
speaker_005,england,0.554,england,0.544,us,0.755,england,0.56,English
speaker_026,indian,0.503,us,0.644,us,0.687,us,0.724,English
speaker_032,us,0.421,us,0.728,us,0.715,us,0.746,English
speaker_051,us,0.685,us,0.755,us,0.743,us,0.512,English
speaker_066,indian,0.609,us,0.751,us,0.703,us,0.685,Spanish
speaker_031,us,0.428,us,0.424,us,0.362,us,0.73,English
speaker_023,australia,0.371,australia,0.525,indian,0.431,us,0.53,Telugu
speaker_074,us,0.754,us,0.738,us,0.635,us,0.515,Polish
speaker_002,us,0.587,england,0.605,england,0.489,us,0.732,English
speaker_008,us,0.44,australia,0.57,us,0.622,australia,0.649,Spanish
speaker_054,australia,0.393,england,0.417,us,0.722,england,0.614,Afrikaans
speaker_057,canada,0.567,us,0.708,us,0.779,us,0.667,Spanish
speaker_065,us,0.568,us,0.761,us,0.802,us,0.492,Spanish
speaker_045,australia,0.321,us,0.627,us,0.721,us,0.782,French
speaker_056,us,0.527,us,0.59,us,0.536,us,0.649,Spanish
speaker_012,indian,0.648,us,0.751,us,0.796,us,0.524,Spanish
speaker_024,us,0.408,us,0.777,indian,0.458,us,0.716,Spanish
speaker_078,us,0.652,us,0.599,us,0.54,us,0.744,Spanish
speaker_018,us,0.609,us,0.727,us,0.686,us,0.63,Portuguese
speaker_011,us,0.585,us,0.673,us,0.614,us,0.848,Spanish
speaker_063,us,0.499,us,0.655,us,0.712,us,0.626,English
speaker_038,us,0.49,us,0.654,england,0.363,us,0.75,Korean
speaker_025,us,0.638,us,0.708,us,0.786,us,0.629,Urdu
speaker_036,us,0.578,african,0.284,us,0.737,us,0.699,Vietnamese
speaker_052,us,0.565,us,0.761,us,0.755,england,0.638,Italian
speaker_076,us,0.761,us,0.665,us,0.664,us,0.653,Chinese
speaker_055,indian,0.451,australia,0.411,us,0.706,us,0.65,Russian
speaker_069,us,0.638,england,0.488,us,0.759,england,0.44,Russian
speaker_041,us,0.691,us,0.654,us,0.711,us,0.71,Spanish
