speaker_id,Sex,Ethnicity simplified,Language,foreign_accent
speaker_081,Male,White,French,2.0
speaker_008,Male,White,Spanish,8.0
speaker_005,Male,White,English,1.0
speaker_047,Female,Other,English,0.0
speaker_022,Male,Asian,Chinese,9.0
speaker_036,Male,Asian,Vietnamese,5.0
speaker_009,Male,Mixed,English,1.0
speaker_017,Female,Asian,Hindi,4.0
speaker_026,Male,Other,English,0.0
speaker_015,Male,Asian,Hindi,1.0
speaker_076,Female,Asian,Chinese,7.0
speaker_007,Female,White,English,7.0
speaker_034,Male,Asian,English,8.0
speaker_057,Male,Mixed,Spanish,0.0
speaker_084,Male,Asian,Chinese,8.0
speaker_043,Female,Asian,Tamil,10.0
speaker_046,Female,Asian,English,2.0
speaker_044,Female,Asian,Hindi,6.0
speaker_074,Female,White,Polish,3.0
speaker_060,Male,Asian,Chinese,3.0
speaker_039,Female,Other,Spanish,2.0
speaker_031,Male,White,English,3.0
speaker_023,Male,Asian,Telugu,8.0
speaker_056,Female,Mixed,Spanish,3.0
speaker_042,Female,White,Spanish,10.0
speaker_082,Female,White,German,7.0
speaker_058,Male,Other,English,1.0
speaker_024,Female,Other,Spanish,4.0
speaker_033,Male,White,English,5.0
speaker_016,Male,White,Spanish,7.0
speaker_048,Male,Asian,Other,1.0
speaker_052,Female,White,Italian,3.0
speaker_029,Male,Other,Spanish,0.0
speaker_049,Female,White,English,0.0
speaker_010,Male,Asian,English,1.0
speaker_032,Male,White,English,0.0
speaker_064,Female,White,English,1.0
speaker_069,Female,White,Russian,2.0
speaker_072,Female,Asian,Korean,5.0
speaker_078,Female,Mixed,Spanish,1.0
speaker_059,Male,Asian,Korean,5.0
speaker_045,Female,Black,French,5.0
speaker_001,Male,Asian,English,0.0
speaker_085,Male,White,Farsi,4.0
speaker_050,Female,Asian,Chinese,2.0
speaker_040,Female,Asian,Chinese,9.0
speaker_011,Male,White,Spanish,2.0
speaker_025,Female,Asian,Urdu,1.0
speaker_086,Male,Asian,Bengali,7.0
speaker_028,Female,Asian,Gujarati,0.0
speaker_070,Female,Asian,Chinese,10.0
speaker_083,Female,Asian,English,1.0
speaker_037,Male,White,Arabic,7.0
speaker_061,Female,White,Spanish,9.0
speaker_013,Male,Asian,English,1.0
speaker_073,Female,Asian,Chinese,10.0
speaker_014,Female,Asian,Chinese,6.0
speaker_018,Male,White,Portuguese,7.0
speaker_053,Female,Other,Spanish,2.0
speaker_021,Female,Asian,Bengali,9.0
speaker_002,Male,White,English,3.0
speaker_003,Male,White,English,0.0
speaker_004,Male,White,English,1.0
speaker_030,Male,White,English,8.0
speaker_054,Male,White,Afrikaans,8.0
speaker_068,Female,White,English,1.0
speaker_051,Female,Asian,English,0.0
speaker_071,Female,Asian,Chinese,8.0
speaker_041,Female,Other,Spanish,3.0
speaker_055,Female,White,Russian,5.0
speaker_075,Male,White,Spanish,4.0
speaker_035,Male,White,English,0.0
speaker_080,Male,White,English,5.0
speaker_079,Female,White,English,0.0
speaker_063,Male,Asian,English,0.0
speaker_006,Male,Asian,Chinese,8.0
speaker_038,Male,Asian,Korean,3.0
speaker_020,Female,Mixed,Spanish,1.0
speaker_065,Male,Mixed,Spanish,3.0
speaker_062,Female,Asian,Tamil,8.0
speaker_027,Female,Asian,Tagalog-Filipino,0.0
speaker_012,Female,White,Spanish,0.0
speaker_066,Female,White,Spanish,3.0
speaker_019,Male,Other,Spanish,0.0
speaker_077,Female,Mixed,English,4.0
speaker_067,Male,Asian,English,5.0
